,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0,0,0,8,66,78,39,75,14,3,7,2,1
2,0,0,0,15,11,52,44,17,27,5,1,2,0
3,0,0,0,10,28,13,43,28,9,13,2,0,1
4,0,0,0,13,53,83,25,64,34,10,13,2,0
5,0,0,0,3,20,48,47,10,19,8,2,3,0
6,0,0,0,7,8,33,47,31,5,8,3,1,1
7,0,0,0,2,3,2,4,4,2,0,0,0,0
8,0,0,0,3,3,2,1,2,2,1,0,0,0
9,0,0,0,19,8,5,3,1,2,1,1,0,0
10,0,0,0,18,106,27,10,4,1,2,1,0,0
11,0,0,0,23,24,76,11,3,1,0,0,0,0
12,0,0,0,6,11,7,14,1,0,0,0,0,0
13,0,0,0,30,63,63,25,37,3,0,0,0,0
14,0,0,0,57,38,41,22,5,5,0,0,0,0
15,0,0,0,6,29,11,7,3,0,0,0,0,0
16,0,0,0,14,11,29,8,4,1,0,0,0,0
17,0,0,0,24,51,23,43,9,4,1,0,0,0
18,0,0,0,22,46,56,17,23,4,1,0,0,0
19,0,0,0,8,19,24,20,4,5,1,0,0,0
20,0,0,0,11,21,31,26,17,3,3,0,0,0
