Year,Age Group,Numbers Harvested
2007,1,18010
2007,2,292197
2007,3,678933
2007,4,811259
2007,5,124869
2007,6,92986
2007,7,23838
2007,8,13737
2007,9,5299
2007,10,1270
2008,2,87403
2008,3,842828
2008,4,1002595
2008,5,599583
2008,6,164013
2008,7,76232
2008,8,18634
2008,9,10863
2008,10,5611
2008,11,1878
2008,12,1265
2008,14,2627
2009,1,752
2009,2,314348
2009,3,483817
2009,4,1016257
2009,5,375024
2009,6,215352
2009,7,27655
2009,8,22423
2009,9,13817
2009,10,392
2009,11,906
2009,12,740
2009,13,307
2009,14,422
2010,1,2767
2010,2,478623
2010,3,1037943
2010,4,506777
2010,5,373833
2010,6,168158
2010,7,78973
2010,8,17025
2010,9,18143
2010,10,5745
2011,1,3322
2011,2,398532
2011,3,802324
2011,4,884536
2011,5,178607
2011,6,106394
2011,7,52261
2011,8,8664
2011,9,840
2011,10,1350
2011,12,4621
2011,13,289
2011,15,556
2011,16,420
2012,1,3703
2012,2,69359
2012,3,723903
2012,4,848480
2012,5,577237
2012,6,64270
2012,7,29457
2012,8,41246
2012,9,6410
2013,2,164244
2013,3,582563
2013,4,1464321
2013,5,573205
2013,6,203142
2013,7,25802
2013,8,22150
2013,9,6788
2013,14,207
2014,1,2549
2014,2,97393
2014,3,409907
2014,4,416554
2014,5,530323
2014,6,208191
2014,7,59078
2014,8,9035
2014,9,6809
2014,17,324
