"","Z.sim","Estimator.type","Z.est"
"8",0.979203226167909,"cross sectional",1.1296345509133
"9",1.13166518175188,"cross sectional",0.993116950737906
"10",1.04220131769624,"cross sectional",1.04402325839033
"11",0.916005961197141,"cross sectional",1.1805178521736
"12",1.07785888803131,"cross sectional",1.14623934494264
"13",0.936663990550694,"cross sectional",0.91552550302581
"14",1.18976640341938,"cross sectional",1.0959065120078
"15",1.1768724461538,"cross sectional",0.936358431667179
"81",0.979203226167909,"survival analysis",0.977511568465092
"91",1.13166518175188,"survival analysis",1.11883684660358
"101",1.04220131769624,"survival analysis",1.03590792559782
"111",0.916005961197141,"survival analysis",0.918930586636701
"121",1.07785888803131,"survival analysis",1.06896086674661
"131",0.936663990550694,"survival analysis",0.938079637513043
"141",1.18976640341938,"survival analysis",1.17269402875039
"151",1.1768724461538,"survival analysis",1.16074191853454
"82",1.18592175457675,"cross sectional",1.13104134945848
"92",1.04048468227789,"cross sectional",1.30305667679378
"102",0.973732390756912,"cross sectional",1.03132122007705
"112",0.879843995874329,"cross sectional",1.03619724661235
"122",1.22447082008223,"cross sectional",0.986539541939974
"132",1.05203314868831,"cross sectional",0.994894981179996
"142",0.998050858131203,"cross sectional",1.0582153923383
"152",0.974867185853065,"cross sectional",0.945864056323911
"83",1.18592175457675,"survival analysis",1.18494452347006
"93",1.04048468227789,"survival analysis",1.0296438553371
"103",0.973732390756912,"survival analysis",0.958364398808217
"113",0.879843995874329,"survival analysis",0.858108458388609
"123",1.22447082008223,"survival analysis",1.22610800080273
"133",1.05203314868831,"survival analysis",1.04197554299486
"143",0.998050858131203,"survival analysis",0.984332153600726
"153",0.974867185853065,"survival analysis",0.959576156125942
"84",0.801625139792529,"cross sectional",0.869640153370823
"94",0.895530866656312,"cross sectional",0.862551456819507
"104",0.647394318309057,"cross sectional",0.832777607693093
"114",0.840103406725086,"cross sectional",0.70826679914962
"124",0.703063897541349,"cross sectional",0.723319853983739
"134",0.916904677884506,"cross sectional",0.754004928648257
"144",0.736998379876981,"cross sectional",0.776109955707815
"154",0.872825830945856,"cross sectional",0.767667688123189
"85",0.801625139792529,"survival analysis",0.793513253992382
"95",0.895530866656312,"survival analysis",0.879672639727866
"105",0.647394318309057,"survival analysis",0.652005027771302
"115",0.840103406725086,"survival analysis",0.828817425034945
"125",0.703063897541349,"survival analysis",0.703082389195326
"135",0.916904677884506,"survival analysis",0.8992833121304
"145",0.736998379876981,"survival analysis",0.734217595225208
"155",0.872825830945856,"survival analysis",0.858840556368853
"86",0.950725725079749,"cross sectional",0.823623811302344
"96",0.680461057552225,"cross sectional",0.803069749080168
"106",0.661222464682622,"cross sectional",0.681831137950491
"116",0.823358201112466,"cross sectional",0.634834133562037
"126",0.868116625988751,"cross sectional",0.617274703236739
"136",0.870477620355449,"cross sectional",0.7010242574449
"146",0.81367656609738,"cross sectional",0.845528881074661
"156",0.940152853581903,"cross sectional",0.890031557971929
"87",0.950725725079749,"survival analysis",0.942055809738876
"97",0.680461057552225,"survival analysis",0.679874721337994
"107",0.661222464682622,"survival analysis",0.661211552141672
"117",0.823358201112466,"survival analysis",0.818497830939199
"127",0.868116625988751,"survival analysis",0.861917537468091
"137",0.870477620355449,"survival analysis",0.864207914817198
"147",0.81367656609738,"survival analysis",0.809105772299137
"157",0.940152853581903,"survival analysis",0.93179917137698
"88",0.914171984035928,"cross sectional",0.848432651476797
"98",0.885335165838964,"cross sectional",0.856931309804321
"108",1.07523075044582,"cross sectional",0.873707541120295
"118",0.844860045655792,"cross sectional",0.980121064802365
"128",0.908764070960818,"cross sectional",0.923473024141294
"138",0.92348100580577,"cross sectional",0.964662251699188
"148",1.04042736707382,"cross sectional",0.856798506193829
"158",1.05881688069825,"cross sectional",0.898489769429858
"89",0.914171984035928,"survival analysis",0.91877083442051
"99",0.885335165838964,"survival analysis",0.888731859369126
"109",1.07523075044582,"survival analysis",1.08654386100577
"119",0.844860045655792,"survival analysis",0.846569401740145
"129",0.908764070960818,"survival analysis",0.913137474844092
"139",0.92348100580577,"survival analysis",0.928467933136017
"149",1.04042736707382,"survival analysis",1.0502895850425
"159",1.05881688069825,"survival analysis",1.0694457255431
