"","Z.sim","Estimator.type","Z.est"
"8",1.06493937981953,"cross sectional",0.876337408288198
"9",0.961375443894979,"cross sectional",0.937993511984161
"10",1.21932181808185,"cross sectional",0.861378159893882
"11",1.16146257482677,"cross sectional",0.919694443226086
"12",0.883573108111626,"cross sectional",0.95048854341113
"13",1.14605327897962,"cross sectional",1.04319747110295
"14",0.83824010332775,"cross sectional",1.00112676275362
"15",0.915842317436128,"cross sectional",1.09384411641979
"81",1.06493937981953,"survival analysis",1.07743528201747
"91",0.961375443894979,"survival analysis",0.964565484970441
"101",1.21932181808185,"survival analysis",1.24568993860939
"111",1.16146257482677,"survival analysis",1.1826316839651
"121",0.883573108111626,"survival analysis",0.879772127405803
"131",1.14605327897962,"survival analysis",1.16583776744021
"141",0.83824010332775,"survival analysis",0.830365671347435
"151",0.915842317436128,"survival analysis",0.914940925065038
"82",0.849133361912809,"cross sectional",0.836839016464166
"92",0.915408064479434,"cross sectional",0.786026298571897
"102",0.80417720630124,"cross sectional",0.722828274037941
"112",0.932819922794399,"cross sectional",0.740073903875248
"122",0.831536583169457,"cross sectional",0.888599780687895
"132",0.798749877992377,"cross sectional",0.82660193268096
"142",0.879780650051943,"cross sectional",0.795079507563758
"152",0.772505276651445,"cross sectional",1.03835020901502
"83",0.849133361912809,"survival analysis",0.851312952808541
"93",0.915408064479434,"survival analysis",0.917924461016965
"103",0.80417720630124,"survival analysis",0.806128331639873
"113",0.932819922794399,"survival analysis",0.935424805766234
"123",0.831536583169457,"survival analysis",0.833626747871955
"133",0.798749877992377,"survival analysis",0.800673421844808
"143",0.879780650051943,"survival analysis",0.882115989357723
"153",0.772505276651445,"survival analysis",0.774295446388927
"84",1.03957947682682,"cross sectional",0.862058937252799
"94",0.98659847232069,"cross sectional",0.955491005756004
"104",0.974330639224098,"cross sectional",1.00079571617705
"114",0.776236574495376,"cross sectional",1.03660132689953
"124",0.828001781523928,"cross sectional",1.12234291834535
"134",0.884884580153933,"cross sectional",0.865442786613009
"144",0.973864290416804,"cross sectional",0.817226708297226
"154",1.03213298823596,"cross sectional",0.815874522255288
"85",1.03957947682682,"survival analysis",1.02095339544482
