"","Z.sim","Estimator.type","Z.est"
"8",0.651909721464865,"cross sectional",0.795463345864973
"9",0.898494910436459,"cross sectional",0.700164315357211
"10",0.755586000699833,"cross sectional",0.754881533284622
"11",0.725375857706183,"cross sectional",0.714786596996528
"12",0.880144257237077,"cross sectional",0.818144015865577
"13",0.766537776773888,"cross sectional",0.782562347547736
"14",0.764739734698563,"cross sectional",0.78121213419657
"15",0.819220747231988,"cross sectional",0.874235837651509
"81",0.651909721464865,"survival analysis",0.657993701253785
"91",0.898494910436459,"survival analysis",0.898351672165804
"101",0.755586000699833,"survival analysis",0.759051758359946
"111",0.725375857706183,"survival analysis",0.729604536889754
"121",0.880144257237077,"survival analysis",0.88046444306535
"131",0.766537776773888,"survival analysis",0.769726960248677
"141",0.764739734698563,"survival analysis",0.767974325604878
"151",0.819220747231988,"survival analysis",0.82107948443611
"82",0.762987530870795,"cross sectional",0.764011011587574
"92",0.942801022856368,"cross sectional",0.752619718508864
"102",0.849265762053366,"cross sectional",0.690443937657994
"112",0.754036929900763,"cross sectional",0.734872201802303
"122",0.957278041633302,"cross sectional",0.837945039889229
"132",0.948686911173682,"cross sectional",0.795079594832676
"142",0.905735300294562,"cross sectional",0.852824604588447
"152",0.718028361452744,"cross sectional",0.889467161311644
"83",0.762987530870795,"survival analysis",0.767092764658589
"93",0.942801022856368,"survival analysis",0.946717479076423
"103",0.849265762053366,"survival analysis",0.853280416461094
"113",0.754036929900763,"survival analysis",0.75815156049556
"123",0.957278041633302,"survival analysis",0.961179299125149
"133",0.948686911173682,"survival analysis",0.952597188081671
"143",0.905735300294562,"survival analysis",0.909690670040373
"153",0.718028361452744,"survival analysis",0.722180795717857
"84",0.767791713604629,"cross sectional",0.742691508698756
"94",0.815242013364811,"cross sectional",0.745970093003403
"104",0.763810946826038,"cross sectional",0.703006318257383
"114",0.766570064877068,"cross sectional",0.632203171132258
"124",1.05011814621525,"cross sectional",0.683980012289165
"134",0.981758569291315,"cross sectional",0.743350966216352
"144",0.848006107209072,"cross sectional",0.822483984020849
"154",0.918394685198975,"cross sectional",0.852326748918107
"85",0.767791713604629,"survival analysis",0.763761312746269
"95",0.815242013364811,"survival analysis",0.808754890885894
"105",0.763810946826038,"survival analysis",0.759986648686961
"115",0.766570064877068,"survival analysis",0.762602914427175
"125",1.05011814621525,"survival analysis",1.0314703993221
